hCoV-19/Wuhan/WIV06/2019|EPI ISL 402129|2019-12-30 : 0.187571
hCoV-19/Wuhan/WIV07/2019|EPI ISL 402130|2019-12-30 : 0.187542
hCoV-19/Guangdong/20SF012/2020|EPI ISL 403932|2020-01-14 : 0.188255
hCoV-19/Guangdong/20SF013/2020|EPI ISL 403933|2020-01-15 : 0.188229
hCoV-19/Guangdong/20SF014/2020|EPI ISL 403934|2020-01-15 : 0.187943
hCoV-19/Guangdong/20SF025/2020|EPI ISL 403935|2020-01-15 : 0.188229
hCoV-19/Guangdong/20SF028/2020|EPI ISL 403936|2020-01-17 : 0.188180
hCoV-19/Guangdong/20SF040/2020|EPI ISL 403937|2020-01-18 : 0.188180
hCoV-19/Wuhan/IPBCAMS-WH-03/2019|EPI ISL 403930|2019-12-30 : 0.187493
hCoV-19/Wuhan/HBCDC-HB-01/2019|EPI ISL 402132|2019-12-30 : 0.187841
hCoV-19/Zhejiang/WZ-01/2020|EPI ISL 404227|2020-01-16 : 0.187339
hCoV-19/Zhejiang/WZ-02/2020|EPI ISL 404228|2020-01-17 : 0.187294
hCoV-19/bat/Yunnan/RaTG13/2013|EPI ISL 402131|2013-07-24 : 0.103086
hCoV-19/USA/WA1/2020|EPI ISL 404895|2020-01-19 : 0.187680
hCoV-19/Finland/1/2020|EPI ISL 407079|2020-01-29 : 0.188455
hCoV-19/Shenzhen/HKU-SZ-005/2020|EPI ISL 405839|2020-01-11 : 0.187283
hCoV-19/Shenzhen/HKU-SZ-002/2020|EPI ISL 406030|2020-01-10 : 0.187310
hCoV-19/USA/IL1/2020|EPI ISL 404253|2020-01-21 : 0.186816
hCoV-19/USA/CA1/2020|EPI ISL 406034|2020-01-23 : 0.187471
hCoV-19/USA/CA2/2020|EPI ISL 406036|2020-01-22 : 0.187601
hCoV-19/USA/AZ1/2020|EPI ISL 406223|2020-01-22 : 0.187497
hCoV-19/Guangdong/20SF174/2020|EPI ISL 406531|2020-01-22 : 0.187831
hCoV-19/Guangzhou/20SF206/2020|EPI ISL 406533|2020-01-22 : 0.187937
hCoV-19/Foshan/20SF207/2020|EPI ISL 406534|2020-01-22 : 0.188036
